REFERENCIA;STOCK;PRECIO;IVA;PROSPECTO;EAN13;DESCRIPCION;PC;FAMILIA;CATEGORIA;SUBCATEGORIA;LABORATORIO;PVP2;UBICACION
27631;0;45.20;3;;8429420276314;PACK NAVIDAD ISDINCEUTICS RUTINA NORMAL HYALURONIC CREMA;24.44;Dermofarmacia;;;;0.00;
27644;0;52.00;3;;8429420276444;PACK ISDINCEUTICS RUTINA SERUM HYALURONIC;27.64;Dermofarmacia;;;;0.00;
28308;0;15.95;1;;;TRAUMEEL S HEEL 50 COMP;11.16;HOMEOPATÍA;;;;0.00;HOM-E
30454;0;31.95;1;;8429420304543;DUPLO UREADIN LOTION10 750ML;19.10;Productos Varios;;;;0.00;
32524;1;18.55;1;;8429949091085;NERVOHEEL COMP;11.88;Productos Varios;;;;0.00;
32708;6;24.81;3;;4005800339615;EUCERIN PACK PH5 75ML X 2;12.89;Dermofarmacia;;;;0.00;
39854;5;3.95;3;;022796978714;ACONDICIONADOR BIOTINA Y COLÁGENO 88 ML (ACTIBIOS);1.38;Dermofarmacia;;;;0.00;
45755;0;19.95;3;;8001090457554;GILLETTE RECAMBIO PROGLIDE MANUAL;9.06;Productos Varios;;;;0.00;
48066;1;43.10;1;;8429949092075;TRAUMEEL S HEEL GOTAS 100 ML;30.17;HOMEOPATÍA;;;;0.00;BOI-R
50674;0;11.90;3;;8435295171623;TIRAS INTER ACETONAS;5.51;Productos Varios;;;;0.00;
52128;3;1.95;2;;84158833;SMINT MENTA SUAVE;1.04;Productos Varios;;;;0.00;
52129;2;1.95;2;;84199485;SMINT FRUTAS DEL BOSQUE;1.04;Productos Varios;;;;0.00;
55997;4;12.95;3;;8436558889002;NATURAL BROWN EYEBROW&EYELIN;6.29;Parafarmacia;;;;0.00;
56012;0;30.00;3;;;HANLEY CINDY BLACK;13.00;Parafarmacia;;;;0.00;
58252;0;30.00;3;;;HANLEY BILLY GREEN ;13.00;Parafarmacia;;;;0.00;
59876;0;19.95;3;;8436558888968;EYES & CHEEKS PALETTE;10.00;Parafarmacia;;;;0.00;
59877;0;20.95;3;;8436558888937;IVORY FOUNDATION ;10.80;Parafarmacia;;;;0.00;
59878;0;20.95;3;;8436558888944;WARM BEIGE;10.80;Parafarmacia;;;;0.00;
59879;3;18.95;3;;8436558888951;CONCEALER PALETTE ;9.78;Parafarmacia;;;;0.00;
59973;4;12.95;3;;8436558888999;DARK BLONDE EYEBROW&EYELIN;6.29;Parafarmacia;;;;0.00;
59974;1;12.95;3;;8436558888982;MULBERRY PINK;6.29;Parafarmacia;;;;0.00;
59975;0;12.95;3;;8436558888975;PRAIRE ROSE YUMMY LIP;6.29;Parafarmacia;;;;0.00;
77317;0;40.95;3;;8006540773178;CEPILLO ELÉCTRICO FROZEN;21.90;Parafarmacia;;;;0.00;
79569;8;0.85;2;;7622210795694;HALLS EXTR STRONG;0.49;Dietética;;;;0.00;
85796;4;38.90;2;;8437025981083;METABOLIC MAX IVB;22.34;Dietética;;;;0.00;
90811;1;2.95;2;;8430321005392;BICARB INTERAPOTEK;1.20;Productos Varios;;;;0.00;
98657;0;3.00;3;;;CHAMPÚ REPARADOR AVENA MINI 50 ML (ACTIBIOS);1.51;Parafarmacia;;;;0.00;
98758;-2;3.95;3;;022796973122;ACONDICIONADOR ACEDITE DE ARGAN MARRUECOS (ACTIBIOS);1.38;Parafarmacia;;;;0.00;
100766;3;15.35;2;;5425009098394;PRANAROM JARABE FUMADORES;8.81;Dietética;;;;0.00;
101763;0;30.50;3;;;NEUTROGENA BODY P/SECA 750 ML 2X1 AZUL;16.32;Productos Varios;;;;0.00;
101895;1;17.95;3;;5420008538537;SPRAY PURIFI RAVINTSARA ARBOL TE 150 M;8.97;Productos Varios;;;;0.00;
102325;0;9.95;2;;8428452786532;ACOFAR NESIRA SOLUCION UNICA 2X250ML+60ML;4.67;Dermofarmacia;;;;0.00;     
102440;1;5.95;3;;8428452786785;ACOFAR VIVERA DESODORANTE ROLL ON 2X75ML;2.95;Productos Varios;;;;0.00;
103258;9;11.95;2;;5420008537738;CAPSULAS CONFORT OJOS Y NARIZ ALLERGOFORCE;6.81;Productos Varios;;;;0.00;
105486;0;15.95;3;;8001090615732;GILLETE MAQUINA FUSION PROSHIELD;8.12;Productos Varios;;;;0.00;
110397;6;3.20;2;;;ESPELTA HINCHADA BIO 200G;2.03;Dietética;;;;0.00;
110471;36;3.05;2;;8436601104717;ENERGY SHOT LIMON 60 ML DRASANVI;1.89;Dietética;;;;0.00;
113052;1;9.95;3;;8428452786822;ACOFAR VIVERA KIT VIAJE;4.51;Productos Varios;;;;0.00;
121627;2;4.30;3;;8425091024605;TISU CAJA;2.25;Productos Varios;;;;0.00;
124101;5;2.94;3;;6936983105422;TEST NASAL ANT ALLTEST COVID Y GRIPE A B;1.80;Productos Varios;;;;0.00;
127891;1;9.95;3;;;CHUPETE TERMOMETRO;5.11;Productos Varios;;;;0.00;
128078;0;14.87;1;;8470005108940;OSCILLOCOCCINUM 6 TUBOS;9.68;Productos Varios;;;;0.00;
131977;23;13.60;3;;7612412429893;CURAPROX TRAVEL SET ;7.36;Parafarmacia;;;;0.00;
137917;1;22.95;3;;3574661379173;NEUTROGENA PACK SPOT CONTROLLING;10.78;Dermofarmacia;;;;0.00;
141069;1;12.95;3;;5420008533808;PRANABB DIFUSION PURIFICADOR MEZCLA 10 ML;6.63;Parafarmacia;;;;0.00;
141143;0;24.95;2;;8430992116052;LEOTRON COMPLEX 90+30;14.79;Productos Varios;;;;0.00;-    
141202;1;31.95;3;;8436036555245;PULSIOXIMETRO PX-02;17.12;Productos Varios;;;;0.00;
143721;0;8.95;3;;8431785001449;TEST DE EMBARAZO;1.13;Productos Varios;;;;0.00;
144290;2;16.95;3;;5420008525414;EUCALYPUR BIO 30ML PRANAROM;8.76;Productos Varios;;;;0.00;
145449;0;24.95;2;;8430992116007;LEOTRON VITAMINAS 90+30;14.29;Productos Varios;;;;0.00;
150000;0;19.95;3;;8470001500007;ZELESSE SOLUCION HIGIENE INTIMA 1 FRASCO 250 ML;7.61;Productos Varios;;;ITALFARMACO S.A.;0.00;ETU-3
150108;2;5.95;3;;8470003671859;TAPONES OIDOS CERA Y RESINAS SINTETICAS ACOFAR 6 UNIDADES;2.68;Productos Varios;;;ACOFARMA DISTRIBUCION S.A.;0.00;-    
150109;0;5.95;3;;8470001501097;ACOFAR VASELINA PURA FILANTE  1 TUBO 60 G;0.00;Parafarmacia;;;ACOFARMA DISTRIBUCION S.A.;0.00;-    
150120;1;14.50;3;;8428749534600;CUMLAUDE LAB: HIDRATANTE EXTERNO CLX  1 ENVASE 30 ML;9.57;Productos Varios;;;DERMOFARM S.A.U.;0.00;-    
150330;0;10.55;3;;8427426040755;VITIS ENCIAS PASTA DENTIFRICA  1 ENVASE 150 ml;5.71;Parafarmacia;;;DENTAID S.L.;0.00;ETU-2
150357;0;30.50;3;;8429420166547;ISDIN NUTRATOPIC PRO-AMP LOCION CORPORAL EMOLIENTE  1 ENVASE;16.49;Parafarmacia;;;ISDIN, S.A.;0.00;-    
150362;0;11.50;3;;8436026215531;KIN FORTE ENCIAS PASTA DENTIFRICA 1 TUBO 125 ML;5.87;Parafarmacia;;;LABORATORIOS KIN, S.A;0.00;-    
150418;0;6.95;3;;8427426008380;CEPILLO DENTAL ORTODONCIA VITIS ORTHODONTIC ACCESS;3.10;Parafarmacia;;;DENTAID S.L.;0.00;
150419;0;10.93;3;;;VITIS SEDA DENTAL CON CERA  50 M 2 UNIDADES DUPLO;5.92;Parafarmacia;;;DENTAID S.L.;0.00;
150692;1;21.00;2;;8470001506924;NATALBEN LACTANCIA 60 CAPSULAS;11.96;Productos Varios;;;ITALFARMACO S.A.;0.00;COM-P
150798;0;7.95;3;;8470001507983;ISDIN REPARADOR LABIAL FLUIDO  1 ENVASE 10 ML;4.82;Parafarmacia;;;ISDIN, S.A.;0.00;-    
150799;0;7.95;3;;;ISDIN REPARADOR LABIAL BALSAMO  1 ENVASE 10 ML;3.92;Parafarmacia;;;ISDIN, S.A.;0.00;-    
150887;2;2.95;3;;8470001508874;ACOFAR TALCO  1 ENVASE 200 G;0.00;Productos Varios;;;ACOFARMA DISTRIBUCION S.A.;0.00;-    
150891;0;10.95;3;;8427426006034;CEPILLO ESPACIO INTERPROXIMAL INTERPROX PLUS SUPER MICRO ENV;5.74;Parafarmacia;;;DENTAID S.L.;0.00;DEN-T
150892;1;10.95;3;;8427426006003;CEPILLO ESPACIO INTERPROXIMAL INTERPROX PLUS MICRO ENVASE AH;5.69;Parafarmacia;;;DENTAID S.L.;0.00;DEN-T
150983;3;15.95;3;;8470001509833;ACNIBEN MINIMIZADOR IMPERFECCIONES LOCALIZADAS ISDIN TEEN SK;8.51;Parafarmacia;;;ISDIN, S.A.;0.00;-    
151101;3;17.95;3;;8437000435297;MARTIDERM PURE MASK  1 ENVASE 75 ML;9.52;Parafarmacia;;;MARTIDERM, S.L.;0.00;-    
151102;2;17.95;3;;8437000435273;MARTIDERM HIDRO MASK  1 ENVASE 75 ML;0.00;Parafarmacia;;;MARTIDERM, S.L.;0.00;-    
151202;1;8.58;3;;0847000151202;RHINOMER BY BREATHE RIGHT TIRA ADH NASAL JUNIOR 10 UNIDADES;0.00;Productos Varios;;;HALEON SPAIN S.A.;0.00;MOS-T
151225;0;5.35;3;;3574661749624;LISTERINE  1 BOTELLA 500 ML SABOR MENTOL;2.84;Parafarmacia;;;JOHNSON & JOHNSON, S.A.;0.00;
151363;9;5.95;2;;4052199208596;MEDICOMP COMPRESAS DE TEJIDO NO TEJIDO ESTERILES  50 UNIDADE;3.11;Parafarmacia;;;LABORATORIOS HARTMANN S.A.;0.00;
151369;0;6.95;2;;8470001513694;OPTIBEN OJOS SECOS GOTAS 1 FRASCO 10 ML;3.99;Productos Varios;;;LABORATORIOS CINFA S.A.;0.00;-    
151370;0;5.95;3;;3574661749600;LISTERINE CUIDADO TOTAL  1 BOTELLA 500 ML;3.15;Parafarmacia;;;JNTL CONSUMER HEALTH SPAIN S.L.;0.00;
151398;0;14.95;3;;8470001513984;AUDIMER AUDICLEAN SOLUCION LIMPIEZA DE OIDOS  1 ENVASE 60 ML;8.07;Productos Varios;;;PERRIGO ESPAÑA S.A.;0.00;JBE- 
151476;4;9.95;3;;8470001514769;ACOFAR BOLSA FRIO/ CALOR  1 BOLSA;5.01;Productos Varios;;;ACOFARMA DISTRIBUCION S.A.;0.00;-    
151492;5;15.95;3;;8700216571067;CLEARBLUE TEST DIGITAL DE EMBARAZO CON INDICADOR DE SEMANAS;7.69;Parafarmacia;;;PROCTER AND GAMBLE ESPAÑA, S.A;0.00;TES-T
151493;3;32.95;3;;8700216570947;TEST DE OVULACION DIGITAL CLEARBLUE 10 UNIDADES;16.98;Productos Varios;;;PROCTER AND GAMBLE ESPAÑA, S.A;0.00;TES-T
151652;0;10.95;3;;5420008514807;BUCCAROM 1 ENVASE 15 G;5.36;Producto Nuevo;;;;0.00;     
151778;3;26.95;3;;5038483502426;FULLMARKS LOCION ANTIPIOJOS 1 ENVASE 100 ML;13.96;Parafarmacia;;;RECKITT BENCKISER HEALTHCARE S.A.;0.00;-    
151842;0;24.95;3;;8470001518422;BLEFARIX TOALLITAS 50 TOALLITAS;13.36;Productos Varios;;;LABORATORIOS VIÑAS, S.A.;0.00;GOT- 
151843;0;20.50;3;;8470001518439;HIPOSUDOL TOALLITAS  20 TOALLITAS 3 ML;10.93;Parafarmacia;;;LABORATORIOS VIÑAS, S.A.;0.00;-    
151862;0;2.40;2;;4030300022422;CARAMELOS PRAIMS 1 ENVASE 75 G SABOR MIEL REFRESCANTE;0.93;DIETÉTICA;;;;0.00;-    
151982;1;5.95;3;;8435520000346;PHB APLICADOR HILO FLOSSER PTFE 30 UNIDADES;2.96;Parafarmacia;;;PREVENCION E HIGIENE BUCAL (PHB) S.L.;0.00;-    
151986;0;16.50;2;;8470001519863;THEALOZ 1 FRASCO 10 ML;9.75;Productos Varios;;;THEA LABORATORIOS S.A.;0.00;-    
152049;0;23.00;3;;8470001520494;ALOCLAIR PLUS COLUTORIO  1 ENVASE 120 ML;12.46;Parafarmacia;;;ITALFARMACO S.A.;0.00;-    
152051;0;15.90;3;;8470001520517;ALOCLAIR PLUS SPRAY 1 ENVASE 15 ML;8.38;Parafarmacia;;;ITALFARMACO S.A.;0.00;ENC-G
152144;7;29.97;3;;8429420139336;ISDIN FOTOPROTECTOR PEDIATRICS LOTION SPRAY SPF 50  1 ENVASE;15.47;Parafarmacia;;;ISDIN, S.A.;0.00;-    
152196;1;11.95;3;;8470001521965;BEXIDENT DIENTES SENSIBLES COLUTORIO 1 ENVASE 500 ML;6.57;Parafarmacia;;;ISDIN, S.A.;0.00;-    
152197;0;13.50;3;;8470001521972;BEXIDENT ENCIAS USO DIARIO COLUTORIO  1 ENVASE 500 ML;7.47;Parafarmacia;;;ISDIN, S.A.;0.00;DEN-T
152285;0;54.05;3;;8470001522856;TENSIOMETRO DIGITAL DE BRAZO DETECTOR DE ARRITMIA ACOFARMA N;19.81;Productos Varios;;;ACOFARMA DISTRIBUCION S.A.;0.00;     
152288;0;2.30;2;;8470001522887;BIMANAN BARRITA CHOCOLATE CRUJIENTES SNACK 24 BARRITAS 35 G;1.20;Productos Varios;;;NUTRITION & SANTE IBERIA, S.L.;0.00;-    
152340;0;19.16;3;;8426420000581;SUAVINEX COLONIA INFANTIL  1 ENVASE 100 ML;10.38;Productos Varios;;;LABORATORIOS SUAVINEX S.A.;0.00;EST-5
152345;0;27.95;3;;8470001523457;WOMAN ISDIN HIDRATANTE VAGINAL LUBRICANTE HIDROSOLUBLE 6 ML;13.61;Productos Varios;;;ISDIN, S.A.;0.00;ETU-5
152349;0;25.31;2;;3175681258037;BIMANAN BESLIM SUSTITUTIVO BATIDO 6 SOBRES 50 G SABOR CHOCOL;14.76;Productos Varios;;;NUTRITION & SANTE IBERIA, S.L.;0.00;-    
152365;0;2.30;2;;8470001523655;BIMANAN BARRITAS 40 G SABOR YOGUR;1.10;DIETÉTICA;;;;0.00;-    
152536;4;32.95;3;;8470001525369;FOTOPROTECTOR ISDIN SPF 50+ FUSION FLUID  1 ENVASE 50 ML;17.94;Parafarmacia;;;ISDIN, S.A.;0.00;-    
152560;2;13.55;3;;5052197040517;DUREX PLAY CHERRY PLEASURE GEL LUBRICANTE HIDROSOLUBLE INTIM;6.22;Productos Varios;;;RECKITT BENCKISER HEALTHCARE S.A.;0.00;     
152643;1;17.50;3;;8470001526434;RHINOMER BABY ASPIRADOR NASAL  1 UNIDAD + 2 RECAMBIOS;9.23;Productos Varios;;;HALEON SPAIN S.A.;0.00;INF- 
152644;0;7.50;3;;8470001526441;RHINOMER BABY  10 RECAMBIOS BLANDOS DESECHABLES;3.88;Productos Varios;;;HALEON SPAIN S.A.;0.00;INF- 
152729;1;11.50;3;;8470001527295;TALQUISTINA 1 ENVASE 50 G;5.92;Productos Varios;;;LACER S.A.U.;0.00;VAR-I
152733;10;31.94;3;;8470001525338;ISDIN FOTOPROTECTOR PEDIATRICS GEL CREAM SPF 50  1 TUBO 250 ;16.26;Parafarmacia;;;ISDIN, S.A.;0.00;-    
152734;0;15.95;3;;8470001527349;ISDIN FOOT CARE UREADIN PODOS GEL OIL HIDRATANTE  1 ENVASE 7;8.63;Parafarmacia;;;ISDIN, S.A.;0.00;-    
152742;0;4.95;2;;8470001527424;DERMOMED FIX SEGUNDA PIEL APOSITO ESTERIL 4 UNIDADES 10 CM X;2.68;PARAFARMACIA;;;;0.00;-    
152795;1;14.95;3;;8470001527950;ISDIN WOMAN HIDRATANTE INTIMO VULVAR  1 TUBO 30 G;7.84;Productos Varios;;;ISDIN, S.A.;0.00;ETU-4
152929;0;2.50;2;;8470001529299;AGUA OXIGENADA HERIDINE 3% 1 FRASCO 250 ML;0.79;Parafarmacia;;;VAZA LABORATORIOS S.L.;0.00;     
152935;0;9.90;3;;3282779277549;KLORANE AGUA MICELAR AL ACIANO DESMAQUILLANTE 3 EN 1  1 ENVA;4.14;Parafarmacia;;;PIERRE FABRE IBERICA S.A.;0.00;-    
152982;0;6.96;3;;8427426026926;HALITA FORTE SPRAY BUCAL 15 ML;3.70;Productos Varios;;;;0.00;
153181;1;12.50;2;;8470001531810;KUKIDENT PRO PLUS LA MEJOR TECNOLOGIA DE SELLADO  1 ENVASE 4;7.42;Parafarmacia;;;PROCTER AND GAMBLE ESPAÑA, S.A;0.00;DEN-T
153240;0;20.95;3;;8470001532404;ISDIN HYDRATION UREADIN BATH GEL  1 ENVASE 1 L;11.78;Parafarmacia;;;ISDIN, S.A.;0.00;-    
153249;0;2.95;2;;8470001532497;ESPARADRAPO ACOFAR TEJIDO 1 UNIDAD 5 M X 2,5 CM COLOR PIEL;1.35;Parafarmacia;;;ACOFARMA DISTRIBUCION S.A.;0.00;     
153250;1;4.70;2;;8470001532503;ESPARADRAPO ACOFAR TEJIDO 1 UNIDAD 5 M X 5 CM COLOR PIEL;1.89;Parafarmacia;;;ACOFARMA DISTRIBUCION S.A.;0.00;     
153252;0;1.95;2;;8470001532527;ESPARADRAPO ACOFAR TEJIDO 1 UNIDAD 5 M X 1,25 CM COLOR PIEL;1.06;Parafarmacia;;;ACOFARMA DISTRIBUCION S.A.;0.00;     
153253;1;2.95;2;;8470001532534;ESPARADRAPO ACOFAR TEJIDO SIN TEJER 1 UNIDAD 5 M X 2,5 CM CO;1.35;Parafarmacia;;;ACOFARMA DISTRIBUCION S.A.;0.00;     
153336;0;25.95;3;;8420893001137;FISIOCREM GEL ACTIVE 1 TUBO 250 ML;13.86;Parafarmacia;;;URIACH CONSUMER HEALTHCARE S.L.;0.00;-    
153765;4;5.95;2;;8470001537652;ACOFARMA NESIRA SOLUCION UNICA LENTES DE CONTACTO  1 ENVASE ;2.75;Productos Varios;;;ACOFARMA DISTRIBUCION S.A.;0.00;     
154047;0;5.95;3;;8427426006461;CEPILLO DENTAL VITIS SUAVE;2.88;Productos Varios;;;;0.00;
154054;1;5.95;3;;8427426006485;CEPILLO DENTAL VITIS MEDIO;2.88;Productos Varios;;;;0.00;
154062;1;5.65;3;;8427426006508;CEPILLO DENTAL VITIS DURO;3.01;Productos Varios;;;;0.00;
154234;1;16.95;2;;300652439228;SYSTANE ULTRA GOTAS OFTALMICAS LUBRICANTES 1 ENVASE 10 ML;10.23;Productos Varios;;;ALCON HEALTHCARE S.A.;0.00;GOT- 
154241;3;19.95;3;;8470001542410;BEXIDENT POST TRATAMIENTO COADYUVANTE GEL 1 ENVASE 25 ML;11.09;Parafarmacia;;;ISDIN, S.A.;0.00;CAJ- 
154268;1;22.50;2;;8470001542687;REDOXON COMPLEX  30 COMPRIMIDOS EFERVESCENTES SABOR NARANJA;13.68;Productos Varios;;;BAYER HISPANIA S.L.;0.00;COM-P
154337;0;18.95;3;;8427426005891;XEROSDENTAID COMPRIMIDOS 90 COMPRIMIDOS;9.19;HIGIENE DENTAL;;;;0.00;EB0-6
154340;0;8.50;3;;8470001543400;URGO PARCHE TERMICO  2 UNIDADES;5.17;Productos Varios;;;LABORATORIOS URGO S.L.;0.00;     
154370;2;10.50;3;;072239311455;BIBERON ESTRECHO DR BROWN´S NATURAL FLOW OPTIONS+ 60 ML;5.10;Productos Varios;;;BEBE INNOVA S.L.;0.00;-    
154414;1;7.50;3;;8427426006058;CEPILLO ESPACIO INTERPROXIMAL INTERPROX PLUS NANO 6 UNIDADES;3.94;HIGIENE DENTAL;;;;0.00;DEN-T
154480;0;8.95;2;;8470001544803;JUANOLA PROPOLIS PASTILLAS REGALIZ Y MIEL  24 PASTILLAS;3.76;Productos Varios;;;ANGELINI PHARMA ESPAÑA S.L.U.;0.00;EST- 
154496;1;47.50;3;;8058664040797;CHICCO CALIENTABIBERON CASA AUTO;25.48;Productos Varios;;;ARTSANA SPAIN S.A.U.;0.00;     
154563;2;17.95;3;;8437000435334;MARTIDERM DSP COVER FPS 50+  1 STICK 4 ML;9.18;Parafarmacia;;;MARTIDERM, S.L.;0.00;EST- 
154653;1;18.90;2;;8470001546531;NATALBEN SUPRA 30 CAPSULAS;11.11;Productos Varios;;;ITALFARMACO S.A.;0.00;COM-P
154659;0;8.95;2;;7310613106420;SALVELOX CALLOS CON ACIDO SALICILICO 10 UNIDADES 57 MM X 19;3.48;Parafarmacia;;;ORKLA CEDERROTH, S.A.U.;0.00;-    
154661;1;13.95;2;;8470001546616;BIORALSUERO  2 TETRABRICK 330 ML SABOR NEUTRO;8.52;Productos Varios;;;CASEN RECORDATI, S.L.;0.00;SOL- 
154791;4;30.39;3;;8429420139343;ISDIN FOTOPROTECTOR LOTION SPRAY SPF 50  1 ENVASE 250 ML;15.35;Parafarmacia;;;ISDIN, S.A.;0.00;-    
154838;0;2.20;2;;8410558001244;ALGODON ZIG-ZAG PURO LUSAN 1 UNIDAD 50 G;0.72;Parafarmacia;;;LABORATORIOS HARTMANN S.A.;0.00;-    
154854;0;18.95;2;;8470000013188;RECUGEL HIDRATACION S OCULAR 1 TUBO 10 G;9.72;Productos Varios;;;BAUSCH & LOMB;0.00;CRE-M
154999;3;29.95;3;;8470001549990;ISDIN FOTOPROTECTOR GEL CREAM SPF 30  1 TUBO 250 ML;15.70;Parafarmacia;;;ISDIN, S.A.;0.00;-    
155098;0;9.95;3;;3574661555508;NEUTROGENA FORMULA NORUEGA HIDRATACION PROFUNDA LOCION CORPO;4.62;Parafarmacia;;;JOHNSON & JOHNSON, S.A.;0.00;-    
155099;0;19.95;3;;3574661559629;NEUTROGENA FORMULA NORUEGA HIDRATACION PROFUNDA LOCION CORPO;10.50;Parafarmacia;;;JOHNSON & JOHNSON, S.A.;0.00;
155127;6;2.85;3;;8470001551276;LIMA DE UÑAS BETER FIBRA VIDRIO LARGA 17.5 CM;1.23;Parafarmacia;;;INDUSTRIAS BETER S.A.;0.00;BT - 
155412;0;23.95;3;;3574661559421;NEUTROGENA FORMULA NORUEGA LOCION CORPORAL REPARACION INTENS;10.50;Parafarmacia;;;JOHNSON & JOHNSON, S.A.;0.00;
155414;0;9.95;3;;3574661555522;NEUTROGENA FORMULA NORUEGA REPARACION INTENSA LOCION CORPORA;4.62;Parafarmacia;;;JOHNSON & JOHNSON, S.A.;0.00;ETU-4
155421;11;4.50;3;;3014260100698;CEPILLO DENTAL INFANTIL ORAL-B JUNIOR STAR WARS 6-12 ANOS;1.35;Parafarmacia;;;PROCTER AND GAMBLE ESPAÑA, S.A;0.00;EST- 
155472;1;23.50;2;;8431082072036;PROTECTOR ELASTICO ALMOHADILLADO COMFORSIL 2 UNIDADES TALLA;13.72;Productos Varios;;;PRIM S.A.;0.00;     
155474;2;23.20;2;;8431082072043;PROTECTOR ELASTICO ALMOHADILLADO COMFORSIL 2 UNIDADES TALLA;13.86;Productos Varios;;;PRIM S.A.;0.00;     
155506;0;16.50;2;;8470001555069;SUPRADYN JUNIOR 30 GUMMIES;9.91;Productos Varios;;;BAYER HISPANIA S.L.;0.00;-    
155531;0;14.95;3;;8436026215548;KIN FORTE ENCIAS ENJUAGUE BUCAL 1 FRASCO 500 ML;8.00;Parafarmacia;;;LABORATORIOS KIN, S.A;0.00;COL-U
155533;1;15.95;2;;8470001555335;CABESTRILLO SOPORTE FARMALASTIC COMPRESSION TECH 1 UNIDAD;8.17;Productos Varios;;;LABORATORIOS CINFA S.A.;0.00;     
155588;1;5.00;3;;8430340054487;LACER JUNIOR GEL DENTAL 1 TUBO 75 ML SABOR MENTA;2.48;Parafarmacia;;;LACER S.A.U.;0.00;-    
155676;1;17.30;2;;8470001556769;BEROCCA BOOST 15 COMPRIMIDOS EFERVESCENTES;10.55;Productos Varios;;;BAYER HISPANIA S.L.;0.00;COM-P
155757;0;7.50;3;;;CEPILLO DENTAL INTERPROX SUPER MICRO 6 NARANJA;4.00;Productos Varios;;;;0.00;
155807;0;24.00;2;;8431082070063;PLANTILLAS COMFORSIL PIES Y PIERNAS CANSADOS DE SILICONA 2 U;13.58;Productos Varios;;;PRIM S.A.;0.00;     
155808;1;24.00;2;;8431082070070;PLANTILLAS COMFORSIL PIES Y PIERNAS CANSADOS DE SILICONA 2 U;13.58;Productos Varios;;;PRIM S.A.;0.00;-    
155809;1;24.00;2;;8431082070087;PLANTILLAS COMFORSIL PIES Y PIERNAS CANSADOS DE SILICONA 2 U;13.58;Productos Varios;;;PRIM S.A.;0.00;-    
155859;2;32.15;2;;8437000435341;MARTIDERM LEGVASS ORAL  60 CAPSULAS;19.23;Productos Varios;;;MARTIDERM, S.L.;0.00;-    
155905;0;8.95;2;;8470001559050;JUANOLA PROPOLIS PASTILLAS LIMON MIEL  24 PASTILLAS;3.29;Productos Varios;;;ANGELINI PHARMA ESPAÑA S.L.U.;0.00;EST-5
155917;0;12.30;3;;3574660559859;COMPEED SPORT AMPOLLAS PLANTA DEL PIE 5 UNIDADES;7.48;Parafarmacia;;;HRA PHARMA IBERIA S.L.;0.00;EXP- 
156009;0;12.95;3;;8470001560094;ACEITE DE ARGAN EDDA PHARMA 1 ENVASE 30 ML;7.26;Parafarmacia;;;EDDA INNOVA PHARMA S.L.;0.00;COL-4
156170;0;17.95;3;;8470001561701;ISDIN SHAMPOO ANTICASPA NUTRADEICA SECA  1 ENVASE 200 ML;9.75;Parafarmacia;;;ISDIN, S.A.;0.00;-    
156226;1;19.95;2;;8431082070308;TALONERAS DESCANSO COMFORSIL SILICONA 2 UNIDADES TALLA S CC2;12.23;Productos Varios;;;PRIM S.A.;0.00;-    
