CN;Stock;PVP_con_IVA;IVA;Prospecto;EAN13;Descripcion;Precio_Coste;Familia;Categoria;Subcategoria;Laboratorio;PVP2;Ubicaciones;ID_WooCommerce;Estado;Fecha_Creacion;Fecha_Modificacion
5060088708019;0;1.4545;21;;;NAKD SALTED CARAMEL 35GR;;;ALIMENTACIÓN SALUDABLE;;;;;3322;publish;2025-03-21 12:49:05;2025-05-23 16:57:07
5060088704783;7;1.4545;21;;;NAKD COCOA DELIGHT 35GR;;;ALIMENTACIÓN SALUDABLE;;;;;3320;publish;2025-03-21 12:48:23;2025-05-23 16:57:07
5060088707661;5;1.4545;21;;;NAKD BLUE BERRY MUFFIN 35G;;;ALIMENTACIÓN SALUDABLE;;;;;3316;publish;2025-03-21 12:47:51;2025-05-23 16:57:07
8470001731906;1;33.1818;21;;;MULTICENTRUM MUJER  90 COMPRIMIDOS;;;Multivitamínicos;;;;;713;publish;2025-03-21 11:58:49;2025-05-23 16:57:07
N/A;1;21.4463;21;;;MULETILLA AZUL FLORES;;;Inicio;;;;;3643;publish;2025-03-21 11:53:12;2025-05-23 16:57:07
8470001559050;2;8.1364;21;;;JUANOLA PROPOLIS PASTILLAS LIMON MIEL  24 PASTILLAS;;;Garganta, Caramelos y Chicles;;;;;3591;publish;2025-03-21 11:25:48;2025-05-23 16:57:07
5425009098424;2;12.6818;21;;;HERBALGEM JARABE DE LOS CANTANTES BIO 250 ML;;;Garganta;;;;;3546;publish;2025-03-21 11:24:24;2025-05-23 16:57:07
8428076000489;1;14.375;21;;;DUREX PLACER PROLONGADO PRESERVATIVOS 12 UNIDADES;;;Preservativos;;;;;3032;publish;2025-03-21 11:23:11;2025-05-23 16:57:07
8410104892333;2;13.1405;21;;;DUREX NATURALS INTIMATE GEL EXTRA SUAVE 100 ML;;;Lubricantes;;;;;1156;publish;2025-03-21 11:23:01;2025-05-23 16:57:07
8428076000618;6;7.1635;21;;;DUREX NATURAL PLUS PRESERVATIVOS 6 UNIDADES;;;Preservativos;;;;;3034;publish;2025-03-21 11:22:53;2025-05-23 16:57:07
8410104603441;2;18.2212;21;;;DUREX NATURAL PLUS PRESERVATIVOS 12 + 12  PRESERVATIVOS;;;Preservativos;;;;;3442;publish;2025-03-21 11:22:44;2025-05-23 16:57:07
8470001736222;1;5.9091;21;;;CODERA ELASTICA DYNAMICS T- L;;;Inicio;;;;;2048;publish;2025-03-21 11:21:39;2025-05-23 16:57:07
3701129801963;1;18.3471;21;;;"<p>Atoderm Intensive Eye es el primer producto 3 en 1 de BIODERMA que combate los síntomas de la irritación de los párpados:</p> <p>1) CALMA: La enoxolona se dirige contra los factores implicados en la sensación de picor para aliviar la piel de forma duradera.</p> <p>2) REPARA:</p> <p>La exclusiva tecnología Lipigenium™ estimula la producción de lípidos y restaura una barrera cutánea eficaz.</p> <p>El complejo patentado Skin Barrier Therapy limita la adhesión de algunas bacterias (Staphylococcus aureus) a la superficie cutánea. Esas bacterias pueden empeorar la sequedad cutánea.</p> <p>El ácido hialurónico, que se encuentra de forma natural en la piel, forma una película hidratante no oclusiva. Retiene el agua en la superficie de la piel, de modo que actúa como depósito de agua.</p> <p>3) DESMAQUILLA: La combinación de 3 aceites elimina el maquillaje y las impurezas de la piel.</p> <p><strong>MODO DE EMPLEO:</strong></p> <p>Una o dos veces al día; aplicar sobre los párpados irritados. Por la mañana, como producto de cuidado. Puede usarse como base de maquillaje. Por la noche, como producto de cuidado o desmaquillante con un algodón. Atoderm Intensive Eye es completamente innovador tanto por su acción 3 en 1 como por su uso durante los brotes y en los periodos de remisión. Atoderm Intensive Eye puede usarse como producto de cuidado para aliviar y reparar la piel o como limpiador/desmaquillante para eliminar suavemente todas las impurezas durante todo el año. Incluir Atoderm Intensive Eye como parte de una rutina de cuidado diaria garantiza el respeto de los párpados, fortalecerlos y evitar futuros brotes.</p> <p></p> <p>PASO 1</p> <p>DAR UN SUAVE MASAJE SOBRE EL PÁRPADO PARA AYUDAR A DESINFLAMAR:</p> <p>1- Bombeo: Estimulación del sistema linfático: hacer 3 presiones sucesivas con el índice, el corazón y el anular, colocados a 1 cm de la base de las orejas.</p> <p>2 - Drenaje: Movimiento desde el canto interno hacia el canto externo. Después, masajear suavemente desde el canto externo hasta el interno de los ojos. Repetir 3 veces.</p> <p>3 - Drenaje global: Hacer un masaje global final desde el canto interno hasta el canto externo de los ojos, bajando a lo largo de la forma del rostro hacia la base del cuello.</p> <p>PASO 2</p> <p>COMO LIMPIADOR/DESMAQUILLADOR DIARIO:</p> <p>1 - Aplicación: Aplicar unos puntos pequeños de Atoderm Intensive Eye en el párpado superior.</p> <p>2 - Limpieza: Extender el producto por todo el párpado y hacer un suave masaje circular.</p> <p>3 - Limpieza: Extender sobre las pestañas desde la base hasta la punta para eliminar el rímel.</p> <p>4 - Paso del algodón (solo en caso de remisión): Desmaquillar con un algodón, desde el canto interno hasta el externo de los párpados y desde la base hasta la punta de las pestañas.</p> <p>PASO 3</p> <p>COMO CUIDADO DIARIO:</p> <p>1 - Aplicación: Aplicar una pequeña cantidad de producto (tamaño de un granito de arroz) sobre los párpados, y extenderlo desde el borde inferior interno hasta el borde superior interno de los párpados. El producto no debe aplicarse demasiado cerca de los ojos (unos 2 cm).</p> <p>2 - Drenaje: Después, masajear ligeramente hacia fuera con los 3 dedos centrales. Repetir 3 veces.</p>";;;Contorno de Ojos;;;;;1285;publish;2025-03-21 11:20:10;2025-05-23 16:57:07
3014260100636;6;4.0909;21;;;ORAL-B CEPILLO BABIES WINNIE 0-2 AÑOS;;;Cepillos Dentales;;;;;2340;publish;2025-03-20 19:43:58;2025-05-23 16:57:07
5425009103890;2;11.5289;21;;;OPTIGEM SPRAY PARPADOS BIO;;;Inicio;;;;;3547;publish;2025-03-20 19:42:54;2025-05-23 16:57:07
8470002100152;1;9.6364;21;;;OPTIBEN OJOS SECOS 20 AMPOLLAS UNIDOSIS 0,25 ML;;;Gotas oculares;;;;;1518;publish;2025-03-20 19:40:27;2025-05-23 16:57:07
3770015508187;0;4.0909;21;;;<p>Ohlala Kit Frambuesa Menta Menta contienen:</p> <p><strong>- Pasta Dentífrica 15 ml</strong></p> <p>El sabor de la pasta de dientes de frambuesa fresca de Ohlalá es apta para todos los paladares, usos y costumbres en el cepillado de tus dientes. Apetecible a cualquier hora. Tanto que necesitarás lavarte los dientes más de 3 veces al día. En la mitología griega, se le atribuía a la frambuesa la propiedad de cambiar el humor de quien la ingiriera.<strong></strong></p> <p><strong>- Cepillo Dental Bamboo</strong></p> <p>Alternativa sostenible y ecológica a los cepillos de dientes de plástico. Con formato compacto, ideal para ocupar poco espacio y limpiar todos los dientes</p>;;;Cepillos Dentales;;;;;2138;publish;2025-03-20 14:02:52;2025-05-23 16:57:07
3770015508347;0;4.0909;21;;;<p>Ohlala Kit Viaje Canela Menta contienen:</p> <p><strong>- Pasta Dentífrica 15 ml</strong></p> <p>Exquisite! ¿Qué sería de la vida sin canela? Pues una vida sin sabor. Esta pasta de dientes tiene sabor a la aromática de la canela con la potencia de la menta para volver loco a tu cepillo de dientes. Antiguamente se creía que la canela, especia exótica, tenía un poder espiritual para ahuyentar a los malos espíritus. </p> <p><strong>- Cepillo Dental Bamboo</strong></p> <p>Alternativa sostenible y ecológica a los cepillos de dientes de plástico. Con formato compacto, ideal para ocupar poco espacio y limpiar todos los dientes</p>;;;Cepillos Dentales;;;;;2140;publish;2025-03-20 14:02:17;2025-05-23 16:57:07
8470001652539;0;35.9091;21;;;<p>Tomar una cápsula diaria de Oftan Mácula Omega acompañada de una pequeña cantidad de agua.</p>;;;Multivitamínicos;;;;;490;publish;2025-03-20 14:01:11;2025-05-23 16:57:07
8470001681782;0;29.5455;21;;;<p>Tomar una cápsula diaria de Oftan Mácula sin masticar y con bastante líquido, preferiblemente con el desayuno.</p>;;;Multivitamínicos;;;;;565;publish;2025-03-20 14:00:49;2025-05-23 16:57:07
8430094313304;0;2.0909;21;;;NUTRIBEN TERNERA CON PATATAS Y ZANAHORIAS 1 POTITO 235 G;;;Potitos;;;;;1152;publish;2025-03-20 13:54:18;2025-05-23 16:57:07
8470003383769;0;4.5;21;;;NOVOSAL SAL HIPOSODICA 200 G;;;DIETÉTICA;;;;;1606;publish;2025-03-20 13:45:24;2025-05-23 16:57:08
8413647052585;13;5.4455;21;;;NOVAFIX FORMULA PRO 3 1 ENVASE 50 G SIN SABOR;;;Inicio;;;;;3485;publish;2025-03-20 13:43:16;2025-05-23 16:57:08
8435232335934;0;5.3719;21;;;NORMOMAR SUERO FISIOLOGICO 30 MONODOSIS 5 ML;;;Inicio;;;;;3043;publish;2025-03-20 13:40:59;2025-05-23 16:57:08
3574661801612;0;19.7934;21;;;<p>Descubre la hidratación avanzada con el Fluido Hidratante Neutrogena Hydro Boost SPF 50. Desarrollado con dermatólogos, este fluido con protección solar sin perfume, ofrece una alta protección contra los rayos UVA/UVB y la exposición prolongada a UVA. Formulada con ácido hialurónico, esta crema hidratante retiene el agua en la piel, incrementando su hidratación, mientras que la provitamina B5 fortalece la barrera cutánea. La niacinamida al 2% mejora la luminosidad y textura de la piel, y las vitaminas C y E protegen contra el estrés oxidativo causado por los rayos UV.</p> <p>Los resultados son visibles desde el primer uso, con un aumento inmediato de la hidratación de la piel. En una semana, el 97% de los usuarios notó su piel calmada y más suave y el 98% la sintió hidratada y nutrida. En cuatro semanas, el 90% observó mayor hidratación y luminosidad y el 100% notó un aspecto más saludable. Adecuado para todo tipo y tono de piel, no es comedogénico y ofrece un acabado invisible con una textura ligera, de tacto seco y no pegajoso, ideal como base antes del maquillaje.</p> <p>La botella y la caja son reciclables. Agitar antes de usar y aplicar generosamente cada mañana como último paso de tu rutina de cuidado de la piel, cubriendo todo el rostro y el cuello, reaplicando al menos dos veces al día. Perfecto para usar sobre el sérum y la Hydro Boost Gel de Agua. Mantén tu piel protegida e hidratada todo el día con Neutrogena Hydro Boost Fluido Hidratante SPF 50.</p> <p><strong>Modo de empleo</strong></p> <p>Aplica una cantidad generosa cada mañana como último paso de tu rutina de cuidado de la piel para cubrir todo el rostro y el cuello. Aplica al menos dos veces al día. Su textura ultraligera y no grasa es ideal para utilizarla como base antes de maquillarte. Evitar el contacto con los ojos. Evitar la exposición al sol durante las horas centrales del día y una exposición prolongada, incluso cuando se usa protección solar. Aplicar de forma generosa y uniforme antes de la exposición solar y repetir la aplicación con frecuencia. Una cantidad insuficiente reduce la protección.</p>;;;Hidratantes;;;;;3724;publish;2025-03-20 13:38:11;2025-05-23 16:57:08
3574661785868;4;8.1818;21;;;"<p><strong>FUNCIÓN</strong></p> <p style=""margin-bottom:6pt;margin-top:0pt;"">Se absorbe al instante y nutre cono un aceite (piel seca).</p> <p><strong>MODO DE EMPLEO</strong></p> <p style=""margin-bottom:6pt;margin-top:0pt;"">Aplicar por la mañana y por la noche en todo el cuerpo. Volver a aplicar tras la ducha o el baño sobre la piel previamente secada con una toalla.</p>";;;Hidratantes;;;;;3581;publish;2025-03-20 13:34:30;2025-05-23 16:57:08
3574661555522;0;8.2231;21;;;NEUTROGENA FORMULA NORUEGA REPARACION INTENSA LOCION CORPORAL;;;Hidratación;;;;;234;publish;2025-03-20 13:34:22;2025-05-23 16:57:08
3574661785875;3;8.1818;21;;;"<p><strong>FUNCIÓN</strong></p> <p style=""margin-bottom:6pt;margin-top:0pt;"">Ayuda a reparar y proteger la piel desde la primera aplicación ( piel muy seca e irritada).</p> <p><strong>MODO DE EMPLEO</strong></p> <p style=""margin-bottom:6pt;margin-top:0pt;"">Aplicar una o dos veces al día tras el baño o la ducha insiste en las zonas más secas ( piernas, rodillas, codos).</p> <div></div>";;;Hidratación;;;;;3579;publish;2025-03-20 13:33:47;2025-05-23 16:57:08
3574661559421;0;19.7934;21;;;NEUTROGENA FORMULA NORUEGA LOCION CORPORAL REPARACION INTENSIVA;;;Hidratación;;;;;231;publish;2025-03-20 13:28:51;2025-05-23 16:57:08
3574661555508;0;8.2231;21;;;NEUTROGENA FORMULA NORUEGA HIDRATACION PROFUNDA LOCION CORPO;;;Hidratación;;;;;225;publish;2025-03-20 13:28:30;2025-05-23 16:57:08
8436589051768;6;22.1901;21;;;"<p><strong>FUNCIÓN</strong></p> <p style=""margin-bottom:6pt;margin-top:0pt;"">Fotoprotector corporal de rápida absorción. Con acción hidratante inmediata y refrescante.</p> <p style=""margin-bottom:6pt;margin-top:0pt;"">Protección solar con SPF: 50</p> <p><strong>MODO DE EMPLEO</strong></p> <p style=""margin-bottom:6pt;margin-top:0pt;"">Aplicar de forma generosa en el cuerpo 30 minutos antes de la exposición solar y reaplicar con frecuencia, especialmente después de sudar, bañarse o secarse.</p> <p><strong>PRECAUCIONES Y ADVERTENCIAS</strong></p> <p style=""margin-bottom:6pt;margin-top:0pt;"">Uso tópico. Evitar contacto con ojos y mucosas. La aplicación de menos cantidad de fotoprotector conduce a una reducción significativa de la protección. Se recomienda mantener a los bebés y niños pequeños fuera de la luz solar directa. Evite la exposición prolongada al sol durante las horas de mayor intensidad.</p> <div></div>";;;MartiDerm, Solares Corporales;;;;;2711;publish;2025-03-20 13:14:38;2025-05-23 16:57:08
8436589051775;1;21.9008;21;;;"<p><strong>FUNCIÓN</strong></p> <p style=""margin-bottom:6pt;margin-top:0pt;"">Fotoprotector corporal bifásico con activos hidratantes.</p> <p style=""margin-bottom:6pt;margin-top:0pt;"">Protección solar con SPF: 30</p> <p><strong>MODO DE EMPLEO</strong></p> <p style=""margin-bottom:6pt;margin-top:0pt;"">Agitar vigorsamente hasta obtener una mezcla homogénea antes de la aplicación. Aplicar de forma generosa en el cuerpo 30 minutos antes de la exposición solar y reaplicar con frecuencia, especialmente después de sudar, bañarse o secarse.</p> <p><strong>PRECAUCIONES Y ADVERTENCIAS</strong></p> <p style=""margin-bottom:6pt;margin-top:0pt;"">Uso tópico. Evitar contacto con ojos y mucosas. La aplicación de menos cantidad de fotoprotector conduce a una reducción significativa de la protección. Se recomienda mantener a los bebés y niños pequeños fuera de la luz solar directa. Evite la exposición prolongada al sol durante las horas de mayor intensidad.</p>";;;MartiDerm, Solares Corporales;;;;;2713;publish;2025-03-20 13:14:27;2025-05-23 16:57:08
8436589051782;1;27.7273;21;;;<p><strong>Modo de aplicación</strong></p> <p>Ingerir 1 cápsula al día con un vaso de agua por la mañana durante un periodo mínimo de 3 meses. No superar la dosis diaria expresamente recomendada.</p>;;;MartiDerm, NUTRICOSMÉTICA, Solares Orales;;;;;2717;publish;2025-03-20 13:14:17;2025-05-23 16:57:08
8436589050761;1;40.0826;21;;;"<p><strong>FUNCIÓN</strong></p> <p style=""margin-bottom:6pt;margin-top:0pt;"">Reduce los signos del envejecimiento y la apariencia de bolsas, a la vez que aclara el color de las ojeras.</p> <p><strong>MODO DE EMPLEO</strong></p> <p style=""margin-bottom:6pt;margin-top:0pt;"">Extraer una pequeña cantidad de producto presionando suavemente el dosificasdor. Con la ayuda del aplicador, colocar el producto sobre el contorno del ojo por la mañana y la noche ejerciendo ligeras presiones y desliando suavemente el aplicador efecto frío por la zona del párpado inferior y superior para extender el producto. Utilizar la yema de los dedos para su completa absorción.</p> <p><strong>PRECAUCIONES Y ADVERTENCIAS</strong></p> <p style=""margin-bottom:6pt;margin-top:0pt;"">Uso tópico. Mantener fuera del alcance de los niños. Evitar contacto con ojos y mucosas.</p> <div></div>";;;Contorno de Ojos, MartiDerm;;;;;1404;publish;2025-03-20 13:14:07;2025-05-23 16:57:08
8437000435105;1;15.124;21;;;<p><strong>Modo de aplicación</strong></p> <p>Proteos Liposome es la fórmula oil-free que actúa desde la primera aplicación hidratando y aportando luminosidad a la piel. Además, su uso diario previene y corrige las arrugas, y aumenta la firmeza de la piel.</p> <p>Agitar suavemente la ampolla. </p> <p>Abrir la ampolla con el easy-open siguiendo las instrucciones de la caja.</p> <p>Aplicar media ampolla sobre cara, cuello y escote. </p> <p>Realizar un suave masaje hasta su total absorción.</p>;;;Hidratantes, MartiDerm;;;;;1877;publish;2025-03-20 13:13:47;2025-05-23 16:57:08
8437000435020;0;36.6116;21;;;<p><strong>Modo de aplicación</strong></p> <p>Las ampollas Proteos Hydra Plus actúan desde la primera aplicación hidratando y aportando luminosidad y tersura a la piel. Además, su uso diario previene y corrige las arrugas, y aumenta la firmeza de la piel.</p> <p>Agitar suavemente la ampolla. </p> <p>Abrir la ampolla con el easy-open siguiendo las instrucciones de la caja.</p> <p>Aplicar media ampolla sobre cara, cuello y escote. </p> <p>Realizar un suave masaje hasta su total absorción.</p>;;;Hidratantes, MartiDerm;;;;;1651;publish;2025-03-20 13:13:37;2025-05-23 16:57:08
8437000435013;3;15.124;21;;;<p><strong>Modo de aplicación</strong></p> <p>Las ampollas Proteos Hydra Plus actúan desde la primera aplicación hidratando y aportando luminosidad y tersura a la piel. Además, su uso diario previene y corrige las arrugas, y aumenta la firmeza de la piel.</p> <p>Agitar suavemente la ampolla. </p> <p>Abrir la ampolla con el easy-open siguiendo las instrucciones de la caja.</p> <p>Aplicar media ampolla sobre cara, cuello y escote. </p> <p>Realizar un suave masaje hasta su total absorción.</p>;;;Hidratantes, MartiDerm;;;;;1662;publish;2025-03-20 13:13:27;2025-05-23 16:57:08
